id,image_url,description,source
1,https://images.unsplash.com/photo-1503376780353-7e6692767b70,Black sports car accelerating on highway,Front_Camera_01
2,https://images.unsplash.com/photo-1544620347-c4fd4a3d5957,City transit bus stopped at bus bay,Side_Camera_Left
3,https://images.unsplash.com/photo-1485965120184-e220f721d03e,Cyclist riding along bicycle lane at dusk,Rear_Camera_01
4,https://images.unsplash.com/photo-1476900543704-4312b78632f8,Pedestrians walking across city street crosswalk,Crosswalk_Sensor
5,https://images.unsplash.com/photo-1517524008697-84bbe3c3fd98,Red octagonal stop sign near suburban corner,Street_Survey_2026
6,https://images.unsplash.com/photo-1601584115197-04ecc0da31d7,Heavy commercial freight truck hauling cargo,Highway_Sensor_North
7,https://images.unsplash.com/photo-1558981403-c5f9899a28bc,Motorcycle navigating inner city traffic lane,Front_Camera_02
8,https://images.unsplash.com/photo-1549399542-7e3f8b79c341,Active green traffic light over multilane road,Overhead_Gantry_Cam
9,https://images.unsplash.com/photo-1552519507-da3b142c6e3d,Red sports sedan parked beside sidewalk,Curbside_Scanner_03
10,https://images.unsplash.com/photo-1502877338535-766e1452684a,Suburban residential neighborhood street,Perception_Lidar_Cam
